eval_session,class_id,class_name,intro_session,query_count,accuracy
8,11,boy,0,100,72.0
8,12,bridge,0,100,86.0
8,13,bus,0,100,88.0
8,14,butterfly,0,100,87.0
8,15,camel,0,100,95.0
8,16,can,0,100,90.0
8,17,castle,0,100,89.0
8,18,caterpillar,0,100,82.0
8,19,cattle,0,100,93.0
8,20,chair,0,100,93.0
8,21,chimpanzee,0,100,99.0
8,22,clock,0,100,93.0
8,23,cloud,0,100,85.0
8,24,cockroach,0,100,94.0
8,25,couch,0,100,81.0
8,26,crab,0,100,84.0
8,27,crocodile,0,100,80.0
8,28,cup,0,100,90.0
8,29,dinosaur,0,100,92.0
8,30,dolphin,0,100,94.0
8,31,elephant,0,100,97.0
8,32,flatfish,0,100,86.0
8,33,forest,0,100,76.0
8,34,fox,0,100,91.0
8,35,girl,0,100,75.0
8,36,hamster,0,100,94.0
8,37,house,0,100,93.0
8,38,kangaroo,0,100,95.0
8,39,keyboard,0,100,95.0
8,40,lamp,0,100,78.0
8,41,lawn mower,0,100,98.0
8,42,leopard,0,100,89.0
8,43,lion,0,100,95.0
8,44,lizard,0,100,89.0
8,45,lobster,0,100,71.0
8,46,man,0,100,77.0
8,47,maple tree,0,100,55.0
8,48,motorcycle,0,100,97.0
8,49,mountain,0,100,94.0
8,50,mouse,0,100,94.0
8,51,mushroom,0,100,95.0
8,52,oak tree,0,100,84.0
8,53,orange,0,100,100.0
8,54,orchid,0,100,93.0
8,55,otter,0,100,82.0
8,56,palm tree,0,100,96.0
8,57,pear,0,100,88.0
8,58,pickup truck,0,100,99.0
8,59,pine tree,0,100,77.0
8,60,plain,1,100,57.0
8,61,plate,1,100,70.0
8,62,poppy,1,100,89.0
8,63,porcupine,1,100,53.0
8,64,possum,1,100,64.0
8,65,rabbit,2,100,83.0
8,66,raccoon,2,100,86.0
8,67,ray,2,100,64.0
8,68,road,2,100,87.0
8,69,rocket,2,100,83.0
8,70,rose,3,100,93.0
8,71,sea,3,100,79.0
8,72,seal,3,100,52.0
8,73,shark,3,100,68.0
8,74,shrew,3,100,37.0
8,75,skunk,4,100,89.0
8,76,skyscraper,4,100,83.0
8,77,snail,4,100,86.0
8,78,snake,4,100,83.0
8,79,spider,4,100,61.0
8,80,squirrel,5,100,68.0
8,81,streetcar,5,100,75.0
8,82,sunflower,5,100,98.0
8,83,sweet pepper,5,100,90.0
8,84,table,5,100,73.0
8,85,tank,6,100,97.0
8,86,telephone,6,100,90.0
8,87,television,6,100,79.0
8,88,tiger,6,100,84.0
8,89,tractor,6,100,97.0
8,90,train,7,100,80.0
8,91,trout,7,100,76.0
8,92,tulip,7,100,77.0
8,93,turtle,7,100,80.0
8,94,wardrobe,7,100,91.0
8,95,whale,8,100,39.0
8,96,willow tree,8,100,29.0
8,97,wolf,8,100,91.0
8,98,woman,8,100,52.0
8,99,worm,8,100,89.0
